capability	sdk_version	source_symbol	evidence_level	result	gap	decision	owner_phase
PROVIDER-longcat	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible endpoint/model/auth；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-lkeap	v1.10.0	repo:internal/models/chat/provider.go lkeapProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	DeepSeek v3 thinking.type；R1 不强制此字段；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-nvidia	v1.10.0	repo:internal/models/chat/provider.go nvidiaProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	chat_template_kwargs 思考字段；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-novita	v1.10.0	repo:internal/models/chat/provider.go baseProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	OpenAI-compatible endpoint/model/auth；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；先采用 SDK OpenAI-compatible；业务 ModelResolver 保留；通过真实验收后移除旧 provider 壳	原生采用	P3/P7
PROVIDER-azure_openai	v1.10.0	repo:internal/models/chat/provider.go azureProvider/azureReasoningProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	api-key 鉴权和 endpoint/deployment/API version；reasoning token shaping；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-weknoracloud	v1.10.0	repo:internal/models/chat/provider.go weKnoraCloudProvider; sdk:model/openai/openai.go Model.GenerateContent	fixed source; no real-provider execution	source-only	/api/v1/chat/completions 精确 body AppID/AppSecret 签名、降多内容保留工具字段；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-ollama-local	v1.10.0	repo:internal/models/chat/ollama.go NewOllamaChat; sdk:model/model.go Model	fixed source; no real-provider execution	source-only	本地 Ollama 原生协议、工具对象、Answer Done 无 finishReason；不是商业 Provider 证据；P3 每实际配置跑文本/流/工具/取消/错误/支持时图片；原生适配通过后删除相应 shim	最小业务扩展	P3/P7
PROVIDER-jina non-Agent consumer	v1.10.0	repo:internal/models/provider/jina.go Info; repo:internal/models/provider/provider.go ListByModelType	fixed source	source-only	仅 embedding/rerank，不列成漏测 chat；保留知识消费链，禁止本迁移无证据删除	最小业务扩展	P3/P4
RUN-06 admission controls and drain [ENG-006]	v1.10.0	repo:internal/config/config.go AgentRecoveryConfig/IsWorkbenchWorkerDraining; repo:internal/container/agent_runtime.go AgentRecoveryAdmissionEnabled/ValidateAgentRuntimeConfig; repo:internal/application/service/agent_run_graph.go submitDurableAgentRun; repo:internal/application/service/agent_run_admission_gate_test.go	fixed source; existing test read only	source-only	RunControl.Admit 读服务端 enabled/admission_enabled/drain 及原生执行门；任一拒绝条件零新准入；读/取消/cleanup 不禁用，已有工作安全排空；P2 开关组合/commit竞态/child/followup，P7 双库重启维护窗口验收	最小业务扩展	P2/P7
TOOLS-04 authorized pending decision detail and resolution [TOOL-003,MCP-001]	v1.10.0	repo:internal/agent/approval/gate.go PendingRequest/OAuthPendingRequest; repo:internal/handler/mcp_oauth.go AuthorizeURL/Status/ResolveMCPOAuth; repo:internal/application/service/agent_run_decisions.go ValidateDecision/Resolve; repo:internal/handler/session/agent_run.go ownedRun	fixed source; no new behavior run	source-only	interfaces.md 3A 固定授权 List/Get/BeginOAuth/Resolve、服务/操作/脱敏参数/状态/版本、OAuth绑定与同一run恢复；decision.required 指向新鲜详情；当前权限/CAS/幂等/拒绝/过期/撤权须 P1/P2/P4/P5/P7 行为证明	最小业务扩展	P1/P2/P4/P5/P7
